# scene=bounce-circle krb=on dt=0.0166667 seconds=28800 sample_every=600 e0=340
t_s,ke,pe,e_total,e_over_e0,peak_height
12010,20.5875,295.093,315.68,0.928472,0.737732
12020,348.917,76.2048,425.122,1.25036,0.190512
12030,92.2577,199.528,291.786,0.858193,0.49882
12040,205.042,199.522,404.564,1.18989,0.498805
12050,195.017,76.2119,271.229,0.797732,0.19053
12060,85.5745,295.091,380.665,1.1196,0.737726
12070,362.284,-114.956,247.329,0.727437,-0.287389
12080,23.9295,336.183,360.112,1.05915,0.840457
12090,547.202,-320.425,226.777,0.666992,-0.801062
12100,0.0316943,336.176,336.208,0.988847,0.840441
12110,563.987,-114.991,448.996,1.32058,-0.287477
12120,20.5728,295.088,315.661,0.928414,0.73772
12130,348.857,76.2306,425.087,1.25026,0.190576
12140,92.2888,199.462,291.751,0.858091,0.498655
12150,205.088,199.456,404.544,1.18984,0.498641
12160,194.972,76.2377,271.209,0.797675,0.190594
12170,85.5446,295.086,380.63,1.1195,0.737714
12180,362.346,-115.052,247.294,0.727335,-0.28763
12190,23.9453,336.148,360.093,1.0591,0.840369
12200,547.126,-320.368,226.758,0.666935,-0.800921
12210,0.0322732,336.141,336.173,0.988745,0.840353
12220,564.064,-115.087,448.977,1.32052,-0.287718
12230,20.5581,295.083,315.641,0.928357,0.737708
12240,348.796,76.2563,425.053,1.25016,0.190641
12250,92.3199,199.396,291.716,0.857989,0.498491
12260,205.135,199.39,404.525,1.18978,0.498476
12270,194.926,76.2634,271.19,0.797617,0.190659
12280,85.5146,295.081,380.596,1.1194,0.737703
12290,362.408,-115.148,247.259,0.727233,-0.287871
12300,23.9612,336.112,360.073,1.05904,0.840281
12310,547.051,-320.312,226.738,0.666878,-0.80078
12320,0.0328573,336.106,336.139,0.988643,0.840264
12330,564.14,-115.183,448.957,1.32046,-0.287958
12340,20.5434,295.079,315.622,0.9283,0.737696
12350,348.736,76.2821,425.018,1.25005,0.190705
12360,92.351,199.33,291.681,0.857887,0.498326
12370,205.181,199.325,404.506,1.18972,0.498312
12380,194.881,76.2892,271.171,0.79756,0.190723
12390,85.4847,295.076,380.561,1.1193,0.737691
12400,362.469,-115.245,247.224,0.727131,-0.288112
12410,23.977,336.077,360.054,1.05898,0.840192
12420,546.975,-320.256,226.719,0.66682,-0.80064
12430,0.0334467,336.071,336.104,0.988541,0.840176
12440,564.217,-115.28,448.938,1.32041,-0.288199
12450,20.5288,295.074,315.603,0.928243,0.737684
12460,348.676,76.3078,424.983,1.24995,0.19077
12470,92.3821,199.265,291.647,0.857785,0.498162
12480,205.227,199.259,404.486,1.18967,0.498147
12490,194.836,76.3149,271.151,0.797503,0.190787
12500,85.4548,295.071,380.526,1.11919,0.737679
12510,362.531,-115.341,247.19,0.727029,-0.288353
12520,23.9929,336.042,360.035,1.05893,0.840104
12530,546.899,-320.2,226.699,0.666763,-0.800499
12540,0.0340413,336.035,336.069,0.988439,0.840088
12550,564.294,-115.376,448.918,1.32035,-0.28844
12560,20.5141,295.069,315.583,0.928186,0.737673
12570,348.615,76.3336,424.949,1.24985,0.190834
12580,92.4133,199.199,291.612,0.857683,0.497997
12590,205.274,199.193,404.467,1.18961,0.497983
12600,194.791,76.3407,271.132,0.797446,0.190852
12610,85.4249,295.067,380.492,1.11909,0.737667
12620,362.592,-115.437,247.155,0.726927,-0.288593
12630,24.0087,336.006,360.015,1.05887,0.840016
12640,546.823,-320.143,226.68,0.666706,-0.800358
12650,0.0346411,336,336.035,0.988337,0.84
12660,564.371,-115.472,448.899,1.32029,-0.288681
12670,20.4994,295.064,315.564,0.928129,0.737661
12680,348.555,76.3593,424.914,1.24975,0.190898
12690,92.4444,199.133,291.577,0.857581,0.497833
12700,205.32,199.127,404.447,1.18955,0.497818
12710,194.746,76.3664,271.112,0.797389,0.190916
12720,85.395,295.062,380.457,1.11899,0.737655
12730,362.654,-115.534,247.12,0.726825,-0.288834
12740,24.0246,335.971,359.996,1.05881,0.839928
12750,546.748,-320.087,226.661,0.666649,-0.800218
12760,0.0352462,335.965,336,0.988235,0.839912
12770,564.448,-115.569,448.879,1.32023,-0.288922
12780,20.4848,295.059,315.544,0.928071,0.737649
12790,348.494,76.3851,424.879,1.24964,0.190963
12800,92.4755,199.067,291.543,0.857479,0.497668
12810,205.366,199.061,404.428,1.18949,0.497654
12820,194.701,76.3922,271.093,0.797332,0.19098
12830,85.3651,295.057,380.422,1.11889,0.737643
12840,362.716,-115.63,247.086,0.726723,-0.289075
12850,24.0405,335.936,359.976,1.05875,0.83984
12860,546.672,-320.031,226.641,0.666592,-0.800077
12870,0.0358565,335.929,335.965,0.988133,0.839823
12880,564.525,-115.665,448.86,1.32018,-0.289162
12890,20.4701,295.055,315.525,0.928014,0.737637
12900,348.434,76.4108,424.845,1.24954,0.191027
12910,92.5066,199.001,291.508,0.857377,0.497504
12920,205.413,198.996,404.408,1.18944,0.497489
12930,194.655,76.4179,271.073,0.797275,0.191045
12940,85.3351,295.052,380.388,1.11879,0.737631
12950,362.777,-115.726,247.051,0.726621,-0.289316
12960,24.0563,335.901,359.957,1.0587,0.839751
12970,546.596,-319.975,226.622,0.666535,-0.799936
12980,0.036472,335.894,335.931,0.988031,0.839735
12990,564.602,-115.761,448.841,1.32012,-0.289403
13000,20.4555,295.05,315.505,0.927957,0.737625
13010,348.373,76.4366,424.81,1.24944,0.191091
13020,92.5378,198.936,291.473,0.857275,0.497339
13030,205.459,198.93,404.389,1.18938,0.497325
13040,194.61,76.4437,271.054,0.797218,0.191109
13050,85.3052,295.048,380.353,1.11868,0.737619
13060,362.839,-115.823,247.016,0.726519,-0.289557
13070,24.0722,335.865,359.938,1.05864,0.839663
13080,546.521,-319.918,226.602,0.666478,-0.799796
13090,0.0370928,335.859,335.896,0.987929,0.839647
13100,564.679,-115.858,448.821,1.32006,-0.289644
13110,20.4409,295.045,315.486,0.9279,0.737613
13120,348.313,76.4623,424.775,1.24934,0.191156
13130,92.5689,198.87,291.439,0.857173,0.497175
13140,205.506,198.864,404.37,1.18932,0.49716
13150,194.565,76.4694,271.035,0.797161,0.191174
13160,85.2754,295.043,380.318,1.11858,0.737607
13170,362.901,-115.919,246.982,0.726417,-0.289797
13180,24.0881,335.83,359.918,1.05858,0.839575
13190,546.445,-319.862,226.583,0.666421,-0.799655
13200,0.0377188,335.824,335.861,0.987827,0.839559
13210,564.756,-115.954,448.802,1.32001,-0.289885
13220,20.4262,295.04,315.467,0.927843,0.737601
13230,348.253,76.4881,424.741,1.24924,0.19122
13240,92.6001,198.804,291.404,0.857071,0.49701
13250,205.552,198.798,404.35,1.18927,0.496996
13260,194.52,76.4952,271.015,0.797103,0.191238
13270,85.2455,295.038,380.284,1.11848,0.737595
13280,362.962,-116.015,246.947,0.726315,-0.290038
13290,24.104,335.795,359.899,1.05853,0.839487
13300,546.369,-319.806,226.564,0.666364,-0.799514
13310,0.0383501,335.788,335.827,0.987725,0.839471
13320,564.833,-116.05,448.782,1.31995,-0.290126
13330,20.4116,295.036,315.447,0.927786,0.737589
13340,348.192,76.5138,424.706,1.24914,0.191285
13350,92.6312,198.738,291.369,0.856969,0.496846
13360,205.598,198.732,404.331,1.18921,0.496831
13370,194.475,76.5209,270.996,0.797046,0.191302
13380,85.2156,295.033,380.249,1.11838,0.737583
13390,363.024,-116.112,246.912,0.726213,-0.290279
13400,24.1199,335.759,359.879,1.05847,0.839399
13410,546.294,-319.75,226.544,0.666306,-0.799374
13420,0.0389866,335.753,335.792,0.987623,0.839382
13430,564.91,-116.147,448.763,1.31989,-0.290366
13440,20.397,295.031,315.428,0.927729,0.737577
