# scene=floor-bounce krb=on dt=0.0166667 seconds=600 sample_every=60 e0=90 velocity_iterations=8 position_iterations=3 meter=translational engine=gearbox2d
engine,t_s,e_over_e0
gearbox2d,222,1.01219
gearbox2d,223,1.00293
gearbox2d,224,0.993672
gearbox2d,225,1.00926
gearbox2d,226,1
gearbox2d,227,0.99074
gearbox2d,228,1.00633
gearbox2d,229,0.997068
gearbox2d,230,0.987809
gearbox2d,231,1.00339
gearbox2d,232,0.994136
gearbox2d,233,1.00972
gearbox2d,234,1.00046
gearbox2d,235,0.991204
gearbox2d,236,1.0071
gearbox2d,237,0.997839
gearbox2d,238,0.988581
gearbox2d,239,1.00417
gearbox2d,240,0.994907
gearbox2d,241,1.01049
gearbox2d,242,1.00123
gearbox2d,243,0.991975
gearbox2d,244,1.00756
gearbox2d,245,0.998302
gearbox2d,246,0.989044
gearbox2d,247,1.00494
gearbox2d,248,0.995679
gearbox2d,249,1.01127
gearbox2d,250,1.00201
gearbox2d,251,0.992746
gearbox2d,252,1.00833
gearbox2d,253,0.999074
gearbox2d,254,0.989815
gearbox2d,255,1.0054
gearbox2d,256,0.996142
gearbox2d,257,1.01173
gearbox2d,258,1.00247
gearbox2d,259,0.993209
gearbox2d,260,1.0088
gearbox2d,261,0.999537
gearbox2d,262,0.990278
gearbox2d,263,1.00617
gearbox2d,264,0.996913
gearbox2d,265,0.987655
gearbox2d,266,1.00324
gearbox2d,267,0.993981
gearbox2d,268,1.00957
gearbox2d,269,1.00031
gearbox2d,270,0.991049
gearbox2d,271,1.00664
gearbox2d,272,0.997376
gearbox2d,273,0.988118
gearbox2d,274,1.00401
gearbox2d,275,0.994753
gearbox2d,276,1.01034
gearbox2d,277,1.00108
gearbox2d,278,0.99182
gearbox2d,279,1.00741
gearbox2d,280,0.998148
gearbox2d,281,0.988889
gearbox2d,282,1.00447
gearbox2d,283,0.995216
gearbox2d,284,1.0108
gearbox2d,285,1.00154
gearbox2d,286,0.992283
gearbox2d,287,1.00787
gearbox2d,288,0.998611
gearbox2d,289,0.989352
gearbox2d,290,1.00525
gearbox2d,291,0.995988
gearbox2d,292,1.01157
gearbox2d,293,1.00231
gearbox2d,294,0.993055
gearbox2d,295,1.00864
gearbox2d,296,0.999382
gearbox2d,297,0.990123
gearbox2d,298,1.00571
gearbox2d,299,0.99645
gearbox2d,300,1.01235
