# scene=cradle krb=on dt=0.0166667 seconds=600 sample_every=60 e0=13.2716 velocity_iterations=8 position_iterations=3
t_s,ke,pe,e_total,e_over_e0,peak_height
114,0.754363,11.9407,12.6951,0.956559,1.27444
115,13.2111,-0.218381,12.9927,0.978983,0.0275011
116,0.141932,12.6152,12.7571,0.961231,1.34243
117,13.2638,-0.603659,12.6601,0.953923,-0.0109258
118,0.127596,12.6647,12.7923,0.963881,1.34849
119,12.958,-0.330809,12.6272,0.95144,0.0147605
120,0.695014,12.1258,12.8208,0.966033,1.29334
121,11.9708,0.591822,12.5626,0.946576,0.11473
122,2.02996,10.8767,12.9067,0.9725,1.16568
123,10.2345,2.33937,12.5739,0.947424,0.288911
124,3.74571,9.24188,12.9876,0.978597,0.996081
125,8.22008,4.38654,12.6066,0.949891,0.498614
126,5.57675,7.39266,12.9694,0.977228,0.808415
127,6.2747,6.36415,12.6389,0.95232,0.702398
128,7.66402,5.32881,12.9928,0.978992,0.592677
129,4.2381,8.38392,12.622,0.951052,0.906872
130,9.95261,3.03638,12.989,0.978703,0.361898
131,2.31817,10.3578,12.676,0.955118,1.10818
132,11.7652,1.24107,13.0063,0.980006,0.176332
133,0.991847,11.7132,12.7051,0.95731,1.25175
134,12.9216,0.0670599,12.9887,0.978681,0.0548913
135,0.268184,12.4766,12.7448,0.960302,1.32815
136,13.4931,-0.53422,12.9589,0.976434,-0.00837135
137,0.0788285,12.706,12.7849,0.963322,1.35203
138,13.1062,-0.474881,12.6314,0.951756,0.00117981
139,0.586848,12.2544,12.8413,0.967574,1.30568
140,12.173,0.445591,12.6186,0.950795,0.0928966
141,1.72102,11.2039,12.9249,0.973876,1.20037
142,10.6639,1.9767,12.6406,0.952448,0.247618
143,3.11479,9.80657,12.9214,0.973607,1.05463
144,8.89384,3.7346,12.6284,0.951536,0.43036
145,5.00212,7.98244,12.9846,0.978369,0.865833
146,6.83599,5.79519,12.6312,0.951742,0.640512
147,7.35026,5.63023,12.9805,0.978062,0.628207
148,4.56251,8.06324,12.6258,0.951333,0.875977
149,9.51389,3.5257,13.0396,0.982515,0.408187
150,2.69725,9.97815,12.6754,0.955074,1.0735
151,11.2332,1.74838,12.9816,0.978144,0.230114
152,1.3525,11.3339,12.6864,0.9559,1.21431
153,12.6205,0.357687,12.9782,0.977892,0.0848526
154,0.431369,12.2627,12.6941,0.956482,1.31038
155,13.4827,-0.468847,13.0138,0.980576,-0.00330377
156,0.0936138,12.6957,12.7893,0.963658,1.35264
157,13.1705,-0.523573,12.647,0.952932,-0.00560617
158,0.43502,12.4174,12.8524,0.968412,1.32326
159,12.453,0.220958,12.6739,0.954963,0.0683305
160,1.27188,11.6165,12.8884,0.971125,1.24094
161,11.2045,1.41531,12.6198,0.950887,0.194359
162,2.67306,10.2634,12.9364,0.974744,1.10176
163,9.44201,3.19553,12.6375,0.952221,0.37331
164,4.72178,8.29016,13.0119,0.980432,0.897034
165,7.1707,5.46864,12.6393,0.952357,0.606661
166,6.87512,6.1412,13.0163,0.980763,0.679113
167,5.03223,7.59216,12.6244,0.951231,0.830072
168,8.83969,4.16005,12.9997,0.979513,0.477304
169,3.24435,9.4116,12.6559,0.953608,1.01528
170,10.7496,2.25833,13.008,0.980133,0.278046
171,1.70367,10.9832,12.6868,0.955936,1.1743
172,12.4509,0.603143,13.0541,0.983607,0.105846
173,0.563532,12.1943,12.7578,0.961283,1.29809
174,13.3969,-0.384121,13.0128,0.980495,0.00666499
175,0.116823,12.6916,12.8085,0.9651,1.35229
176,13.2542,-0.569966,12.6842,0.955738,-0.0095098
177,0.254638,12.5582,12.8129,0.965433,1.34135
178,12.7644,-0.109768,12.6546,0.953508,0.0343484
179,0.970435,11.9174,12.8878,0.971077,1.26923
180,11.6172,0.973527,12.5907,0.948694,0.149059
181,2.46563,10.5034,12.9691,0.977201,1.12676
182,9.73858,2.90754,12.6461,0.952868,0.341188
183,4.2874,8.72874,13.0161,0.980749,0.943776
184,7.66395,4.99493,12.6589,0.953829,0.557989
185,6.14489,6.8402,12.9851,0.978409,0.749837
186,5.69147,6.94894,12.6404,0.952437,0.761809
187,8.2634,4.77553,13.0389,0.982465,0.535734
188,3.73679,8.93208,12.6689,0.954582,0.963743
189,10.4858,2.53491,13.0207,0.981093,0.309313
190,1.93702,10.7617,12.6987,0.956831,1.15168
191,12.1728,0.875631,13.0484,0.983181,0.136091
192,0.757888,12.0321,12.79,0.963708,1.28033
193,13.1736,-0.133239,13.0403,0.982573,0.0304315
194,0.181399,12.6123,12.7936,0.963984,1.34362
195,13.2789,-0.563765,12.7151,0.958066,-0.0107603
196,0.155738,12.6682,12.824,0.966269,1.34881
197,12.9631,-0.297363,12.6658,0.954349,0.0144066
198,0.876232,12.0173,12.8935,0.971509,1.28474
199,11.825,0.805844,12.6309,0.951719,0.12934
200,2.13443,10.866,13.0005,0.979568,1.16197
201,10.177,2.46921,12.6462,0.952873,0.299616
202,3.63496,9.34567,12.9806,0.978073,1.00679
203,8.33457,4.28956,12.6241,0.951211,0.489714
204,5.57135,7.41137,12.9827,0.978231,0.808539
205,6.25553,6.34765,12.6032,0.949633,0.701
206,7.96056,5.09612,13.0567,0.983803,0.56822
207,4.04043,8.62137,12.6618,0.954049,0.933262
208,10.0726,2.98926,13.0618,0.98419,0.353647
209,2.28074,10.4248,12.7055,0.957345,1.11853
210,11.6963,1.33794,13.0342,0.982111,0.184929
211,1.05695,11.6716,12.7285,0.959078,1.24696
212,12.9221,0.0563109,12.9784,0.977907,0.0553213
213,0.293581,12.4369,12.7305,0.959226,1.32828
214,13.2262,-0.541057,12.6851,0.955805,-0.00833273
215,0.145394,12.7135,12.8589,0.9689,1.35202
216,13.0497,-0.369077,12.6806,0.955466,0.00547564
217,0.704032,12.2705,12.9746,0.977617,1.30584
218,12.1331,0.52956,12.6627,0.954116,0.0992488
219,1.9203,11.0829,13.0032,0.979775,1.18593
220,10.4776,2.20814,12.6857,0.955851,0.269443
221,3.65281,9.3812,13.034,0.982095,1.01158
222,8.41935,4.26393,12.6833,0.955667,0.48159
