# scene=floor-bounce krb=on dt=0.0166667 seconds=600 sample_every=60 e0=90 velocity_iterations=8 position_iterations=3
t_s,ke,pe,e_total,e_over_e0,peak_height
114,46.7223,42.4722,89.1944,0.991049,-4.75278
115,25.6806,64.9166,90.5972,1.00664,-2.50834
116,4.01388,85.75,89.7638,0.997376,-0.425004
117,82.3473,6.58331,88.9306,0.988117,-8.34167
118,8,82.3333,90.3333,1.0037,-0.76667
119,18,71.5,89.5,0.994444,-1.85
120,58.6806,32.2222,90.9028,1.01003,-5.77778
121,0.347224,89.7222,90.0694,1.00077,-0.0277807
122,42.0139,47.2222,89.2361,0.991512,-4.27778
123,29.3889,61.25,90.6389,1.0071,-2.875
124,2.72223,87.0833,89.8055,0.997839,-0.291669
125,76.0556,12.9166,88.9723,0.988581,-7.70834
126,10.125,80.25,90.375,1.00417,-0.975002
127,15.125,74.4167,89.5417,0.994907,-1.55833
128,68.0556,22.9167,90.9722,1.0108,-6.70833
129,1.38888,88.75,90.1389,1.00154,-0.125001
130,34.7222,54.5833,89.3055,0.992284,-3.54167
131,36.125,54.5833,90.7083,1.00787,-3.54167
132,1.125,88.75,89.875,0.998611,-0.125003
133,66.125,22.9167,89.0417,0.989352,-6.70833
134,14.2222,76.2222,90.4444,1.00494,-1.37778
135,10.8889,78.7222,89.6111,0.995679,-1.12778
136,74.014,16.9999,91.0139,1.01127,-7.30001
137,2.34723,87.8333,90.1805,1.00201,-0.216669
138,30.6805,58.6667,89.3472,0.992746,-3.13333
139,43.5555,47.2222,90.7777,1.00864,-4.27778
140,0.222225,89.7222,89.9444,0.999382,-0.0277809
141,56.889,32.2222,89.1111,0.990124,-5.77778
142,19.0139,71.4999,90.5138,1.00571,-1.85001
143,7.34721,82.3333,89.6805,0.99645,-0.76667
144,84.5001,6.58331,91.0834,1.01204,-8.34167
145,4.5,85.75,90.25,1.00278,-0.425003
146,24.5,64.9166,89.4166,0.993518,-2.50834
147,48.3472,42.4722,90.8194,1.0091,-4.75278
148,0.0138885,89.9722,89.9861,0.999845,-0.00278043
149,51.6805,37.4722,89.1528,0.990586,-5.25278
150,22.2222,68.3333,90.5555,1.00617,-2.16667
151,5.55556,84.1666,89.7222,0.996913,-0.583336
152,88.889,-5.72205e-05,88.8889,0.987655,-9.00001
153,6.12501,84.1666,90.2917,1.00324,-0.583335
154,21.125,68.3333,89.4583,0.993981,-2.16667
155,56.8889,34,90.8889,1.00988,-5.6
156,0.22222,89.8333,90.0555,1.00062,-0.0166684
157,43.5556,45.6666,89.2222,0.991358,-4.43334
158,28.125,62.4999,90.6249,1.00694,-2.75001
159,3.12499,86.6666,89.7916,0.997685,-0.333336
160,78.125,10.8333,88.9584,0.988426,-7.91667
161,9.38889,80.9722,90.3611,1.00401,-0.90278
162,16.0556,73.4722,89.5277,0.994753,-1.65278
163,62.3473,28.5833,90.9306,1.01034,-6.14167
164,0.680559,89.4166,90.0972,1.00108,-0.0583354
165,39.0139,50.25,89.2639,0.991821,-3.975
166,34.7222,55.9722,90.6944,1.00772,-3.40278
167,1.38889,88.4722,89.8611,0.998456,-0.152781
168,68.0556,20.9721,89.0278,0.989198,-6.90279
169,13.3472,77.0833,90.4305,1.00478,-1.29167
170,11.6805,77.9166,89.5972,0.995524,-1.20834
171,72,19,91,1.01111,-7.1
172,2,88.1666,90.1666,1.00185,-0.183337
173,32,57.3333,89.3333,0.992592,-3.26667
174,39.0139,51.7222,90.7361,1.00818,-3.82778
175,0.680553,89.2222,89.9027,0.998919,-0.0777802
176,62.3472,26.7222,89.0694,0.989661,-6.32778
177,16.0555,74.4167,90.4722,1.00525,-1.55833
178,9.3889,80.25,89.6389,0.995988,-0.975002
179,78.1251,12.9166,91.0417,1.01157,-7.70834
180,3.12501,87.0833,90.2083,1.00231,-0.291668
181,28.125,61.25,89.375,0.993055,-2.875
182,46.7222,44.0833,90.8055,1.00895,-4.59167
183,0.0555567,89.9166,89.9722,0.999691,-0.00833542
184,53.3889,35.7499,89.1389,0.990432,-5.42501
185,21.125,69.4166,90.5416,1.00602,-2.05834
186,6.12499,83.5833,89.7083,0.996759,-0.641669
187,88.889,2.2222,91.1112,1.01235,-8.77778
188,5.55555,84.7222,90.2778,1.00309,-0.52778
189,22.2222,67.2222,89.4444,0.993827,-2.27778
190,51.6806,39.1666,90.8472,1.00941,-5.08334
191,0.0138893,90,90.0139,1.00015,-1.78558e-06
192,48.3472,40.8333,89.1805,0.990895,-4.91667
193,26.8888,63.7222,90.6111,1.00679,-2.62778
194,3.55557,86.2222,89.7777,0.997531,-0.377782
195,80.2223,8.72213,88.9445,0.988272,-8.12779
196,8.68057,81.6666,90.3472,1.00386,-0.833339
197,17.0139,72.5,89.5138,0.994598,-1.75
198,60.5,30.4167,90.9167,1.01019,-5.95833
199,0.499999,89.5833,90.0833,1.00093,-0.0416701
200,40.5,48.75,89.25,0.991666,-4.125
201,30.6806,59.9722,90.6527,1.00725,-3.00278
202,2.34722,87.4722,89.8194,0.997993,-0.25278
203,74.0139,14.9722,88.9861,0.988735,-7.50278
204,10.8889,79.5,90.3889,1.00432,-1.05
205,14.2222,75.3333,89.5555,0.995062,-1.46667
206,66.1251,24.8333,90.9584,1.01065,-6.51667
207,1.125,89,90.125,1.00139,-0.100001
208,36.125,53.1667,89.2916,0.992129,-3.68333
209,37.5555,53.1667,90.7222,1.00802,-3.68333
210,0.888893,89,89.8889,0.998765,-0.100002
211,64.2223,24.8333,89.0556,0.989506,-6.51667
212,15.125,75.3333,90.4583,1.00509,-1.46667
213,10.125,79.5,89.625,0.995833,-1.05
214,76.0556,14.9722,91.0278,1.01142,-7.50278
215,2.72222,87.4722,90.1944,1.00216,-0.25278
216,29.3889,59.9722,89.3611,0.992901,-3.00278
217,42.0139,48.75,90.7639,1.00849,-4.125
218,0.34722,89.5833,89.9305,0.999228,-0.0416682
219,58.6806,30.4167,89.0972,0.989969,-5.95833
220,20.0555,70.4722,90.5277,1.00586,-1.95278
221,6.72224,82.9722,89.6944,0.996605,-0.702782
222,86.6807,4.41657,91.0973,1.01219,-8.55834
223,5.0139,85.2499,90.2638,1.00293,-0.475005
224,23.3472,66.0833,89.4305,0.993672,-2.39167
225,50,40.8333,90.8333,1.00926,-4.91667
226,1.06626e-12,90,90,1,-3.55987e-06
227,50,39.1666,89.1666,0.99074,-5.08334
228,23.3472,67.2222,90.5694,1.00633,-2.27778
229,5.01388,84.7222,89.7361,0.997068,-0.52778
230,86.6806,2.22221,88.9028,0.987809,-8.77778
231,6.72222,83.5833,90.3055,1.00339,-0.641668
232,20.0556,69.4166,89.4722,0.994136,-2.05834
233,55.125,35.75,90.875,1.00972,-5.425
234,0.125001,89.9167,90.0417,1.00046,-0.00833425
235,45.125,44.0833,89.2083,0.991204,-4.59167
236,29.3888,61.25,90.6388,1.0071,-2.875
237,2.72223,87.0833,89.8055,0.997839,-0.291669
238,76.0557,12.9166,88.9723,0.988581,-7.70834
239,10.125,80.2499,90.375,1.00417,-0.975005
240,15.125,74.4166,89.5416,0.994907,-1.55834
241,64.2222,26.7222,90.9445,1.01049,-6.32778
242,0.888887,89.2222,90.1111,1.00123,-0.0777802
243,37.5555,51.7222,89.2777,0.991975,-3.82778
